English	German	Spanish	French	Esperanto	Portuguese	Polish	Russian	Dutch	Italien
On my first morning on the farm, I was awoken suddenly by the cock-a-doodle-do of the resident rooster.	An meinem ersten Morgen auf dem Bauernhof, wurde ich plötzlich von dem cock-a-doodle-do des Bewohner Hahn aufgewacht.	En mi primera mañana en la granja, me despertó de repente por el cock-a-doodle-do del gallo residente.	Le premier matin à la ferme, j'ai été réveillé tout à coup par le coq-a-doodle-do du coq résident.	En mia unua mateno en la bieno, mi estis vekita subite per la koko-a-doodle-do de la loĝantaj koko.	Em minha primeira manhã na fazenda, eu estava acordado de repente pela cock-a-doodle-do do galo residente.	Na mój pierwszy rano na farmie, zostałem obudzony nagle przez cock-a-doodle-do koguta rezydenta.	На моей первой половине дня на ферме, я был разбужен внезапно петух-а-каракуля-Пукто петуха резидента.	Op mijn eerste ochtend op de boerderij, werd ik plotseling gewekt door de cock-a-doodle-do van de bewoner haan.	Nel mio primo giorno in azienda, sono stato svegliato improvvisamente dal gallo-a-doodle-do del gallo residente.
Ticktock, ticktock… the sound of the clock was all that could be heard in the hospital waiting room.	Ticktock, ticktock ... der Klang der Uhr war alles, was im Krankenhaus Wartezimmer zu hören war.	Ticktock, tictac ... el sonido del reloj era todo lo que se podía escuchar en la sala de espera del hospital.	Ticktock, ticktock ... le son de l'horloge était tout ce qu'on pouvait entendre dans la salle d'attente de l'hôpital.	Ticktock, ticktock ... la sono de la horloĝo estis ĉio, kion aŭdiĝis en la hospitalo atendejo.	Ticktock, ticktock ... o som do relógio era tudo o que podia ser ouvido na sala de espera do hospital.	Ticktock, ticktock ... dźwięk zegara było wszystko, co można było usłyszeć w szpitalnej poczekalni.	Тиканье, тиканье ... звук часы все, что можно было услышать в комнате больницы ожидания.	Ticktock, ticktock ... het geluid van de klok was alles wat in het ziekenhuis wachtkamer kon worden gehoord.	Ticktock, ticktock ... il suono dell'orologio era tutto ciò che poteva essere sentito nella stanza d'ospedale d'attesa.
I ordered online proofreading services with the click of a mouse.	Ich bestellte Online-Korrekturlesen mit dem Klicken einer Maus.	Pedí servicios de revisión en línea con el clic de un ratón.	J'ai commandé des services de correction d'épreuves en ligne avec le clic d'une souris.	Mi mendis rete provlegado servoj kun la klako de muso.	Eu pedi serviços de revisão on-line com o clique de um mouse.	Zamówiłem korekta usługi internetowe za pomocą kliknięcia myszy.	Я заказал услуги онлайн корректуры с щелчком мыши.	Ik bestelde online proeflezen diensten met de klik van een muis.	Ho ordinato servizi di revisione in linea con un semplice clic del mouse.
I knew we had finally left the city when I could hear the gentle moo of the cows in the field.	Ich wusste, wir hatten schließlich die Stadt verlassen, als ich die sanfte moo der Kühe auf dem Gebiet hören.	Yo sabía que finalmente habíamos salido de la ciudad cuando pude escuchar el moo suave de las vacas en el campo.	Je savais que nous avions finalement quitté la ville quand je pouvais entendre la douce moo des vaches dans le domaine.	Mi sciis ni finfine forlasis la urbon, kiam mi aŭdis la milda Moo de la bovinoj sur la kampo.	Eu sabia que tinha finalmente deixou a cidade quando eu podia ouvir o moo suave das vacas no campo.	Wiedziałem, że w końcu opuścił miasto, kiedy słyszałem delikatny moo krów w tej dziedzinie.	Я знал, что мы, наконец, покинули город, когда я мог услышать нежное мычание коров в поле.	Ik wist dat we hadden eindelijk de stad, toen ik de zachte moo van de koeien in het veld kon horen vertrokken.	Sapevo che avevamo finalmente lasciato la città in cui ho potuto sentire il dolce moo delle mucche nel campo.
Quack, quack went the ducks as we threw them our stale bread.	Quack, Quack gingen die Enten, wie wir sie unser altes Brot warf.	Cuac, cuac se fue a los patos ya que los tiramos nuestro pan rancio.	Quack, charlatan est allé les canards que nous les jetions notre pain rassis.	Ha, ha iris la anasoj kiel ni ĵetis ilin niaj malfreŝa pano.	Quack, quack passou os patos como nós jogou o nosso pão velho.	Szarlatan, szarlatan poszedł kaczki jak rzuciliśmy im naszą czerstwy chleb.	Кря, кря пошли утка, как мы бросили им наш черствый хлеб.	Quack, kwakzalvers ging de eenden zoals wij ze gooiden onze oudbakken brood.	Quack, Quack andato le anatre come abbiamo buttato loro il nostro pane raffermo.
Zip! My dress was fastened and I was finally ready for the wedding.	Reißverschluss! Mein Kleid befestigt war, und ich war endlich bereit für die Hochzeit.	¡Cremallera! Mi vestido estaba cerrada y yo estaba listo para la boda.	Zip *: français! Ma robe était fermée et je suis enfin prêt pour le mariage.	Zip! Mia robo estis fiksitaj kaj mi fine preta por la geedziĝo.	Fecho eclair! Meu vestido estava presa e eu estava finalmente pronto para o casamento.	Zamek błyskawiczny! Moja suknia była przymocowana i byłem gotowy na ślub.	Zip! Мое платье крепилось и я, наконец, готов к свадьбе.	Zip! Mijn jurk was vastgemaakt en ik was eindelijk klaar voor de bruiloft.	Cerniera lampo! Il mio vestito è stato fissato ed ero finalmente pronto per il matrimonio.
It was lovely to wake up to the tweet of the birds outside my bedroom window.	Es war schön, zu dem Tweet der Vögel vor meinem Schlafzimmerfenster aufzuwachen.	Era precioso para despertar al tuit de las aves fuera de la ventana de mi dormitorio.	Il était très agréable de se réveiller le tweet des oiseaux en dehors de la fenêtre de ma chambre.	Estis bela veki al la tweet de la birdoj ekster mia dormoĉambro fenestro.	Foi lindo para acordar para o tweet dos pássaros fora da janela do meu quarto.	To było piękne obudzić się do ćwierkanie ptaków moim oknem sypialni.	Это было прекрасно, чтобы проснуться, чтобы чирикать птицы вне моего окна спальни.	Het was heerlijk om wakker worden met het gekwetter van de vogels buiten mijn slaapkamerraam.	E 'stato bello svegliarsi al il tweet degli uccelli fuori dalla mia finestra della camera.
“Compliments to the chef,” roared the giant as he let out a huge belch.	„Kompliment an den Koch“, brüllte der Riese, als er einen riesigen Rülpser vermietet.	“Felicitaciones al chef,” rugió el gigante mientras dejaba escapar un gran eructo.	« Compliments au chef », rugit le géant comme il laissa échapper un énorme éructer.	"Komplimentoj al la kuiristo," muĝis la giganta kiel li luigos grandega parolacxas.	“Cumprimentos o chefe”, rugiu o gigante como ele soltou um grande arroto.	„Pozdrowienia dla szefa kuchni”, ryknął gigant jak wypuścił ogromną beknięcie.	«Комплименты повару,» проревел гигант, как он выпустил огромную отрыжку.	“Complimenten aan de chef-kok,” brulde de reus terwijl hij slaakte een enorme oprisping.	“Complimenti allo chef”, ruggì il gigante come lui si lasciò sfuggire un enorme rutto.
My teeth were chattering as we waited in the freezing cold for the bus to arrive.	Meine Zähne klapperten, wie wir in der eisigen Kälte warteten auf den Bus zu gelangen.	Me castañeteaban los dientes mientras esperábamos en el frío de congelación para el autobús para llegar.	Mes dents claquaient comme nous avons attendu dans le froid glacial pour le bus pour arriver.	Miaj dentoj estis babilante kiel ni atendis en la congelación malvarma por la buso alvenos.	Meus dentes batiam enquanto esperávamos no frio congelante para o ônibus para chegar.	Moje zęby były zębami jak czekaliśmy na mrozie na autobus przybyć.	Мои зубы стучали, как мы ждали на морозе на автобус, чтобы прибыть.	Mijn tanden klapperden als we wachtten in de vrieskou voor de bus te komen.	Battevo i denti, come abbiamo aspettato al freddo per il bus per arrivare.
I could hear their buzzing, so I knew there was a bee’s nest around here somewhere.	Ich konnte ihr Summen hören, so dass ich wusste, dass es eine Biene war Nest hier irgendwo.	Podía escuchar su zumbido, así que sabía que era un nido de una abeja alrededor de aquí en alguna parte.	Je pouvais entendre leur bourdonnement, donc je savais qu'il y avait un nid d'abeille autour d'ici quelque part.	Mi povis aŭdi ilian zumado, do mi sciis estis abelo nesto ĉirkaŭ ĉi tie ie.	Eu podia ouvir o seu zumbido, então eu sabia que havia um ninho de abelha por aqui em algum lugar.	Słyszałem ich brzęczenie, więc wiedziałem, że gniazdo pszczoła jest gdzieś tutaj.	Я мог слышать их жужжание, так что я знал, что там было гнездо пчелы вокруг где-то здесь.	Ik kon hun gezoem horen, dus ik wist dat er het nest van een honingbij is hier ergens.	Sentivo il loro ronzio, quindi sapevo che c'era un nido di api qui da qualche parte.
Please do not beep your horn after dark.	Bitte verwenden Sie einen Signalton nicht dein Horn nach Einbruch der Dunkelheit.	Por favor, no sonará la bocina después del anochecer.	S'il vous plaît ne bip pas votre klaxon à la nuit tombée.	Bonvolu ne pepo vian kornon post mallumo.	Por favor, não beep sua buzina depois de escurecer.	Proszę nie beep swój róg po zmroku.	Пожалуйста, не подают звуковой сигнала звукового сигнала после наступления темноты.	Gelieve niet uw hoorn piep in het donker.	Si prega di non suonerà il clacson dopo il tramonto.
Yuk! That cheese stinks.	Yuk! Das Käse stinkt.	Puaj! Que el queso huele mal.	Yuk! Ce fromage pue.	Yuk! Tiu fromaĝo malbonodoras.	Yuk! Que o queijo fede.	Fuj! Że ser śmierdzi.	Юк! Это сыр воняет.	Yuk! Dat kaas stinkt.	Che schiffo! Questo formaggio puzza.
The dog sniffed the air; he could smell meat.	Der Hund schnüffelte; er konnte riechen Fleisch.	El perro olfateó el aire; que podía oler la carne.	Le chien a reniflé l'air; il pouvait sentir la viande.	La hundo snufis la aeron; Li povis flari viando.	O cão farejou o ar; ele podia sentir o cheiro de carne.	Pies nosem powietrza; czuł zapach mięsa.	Собака понюхала воздух; он чувствовал запах мяса.	De hond snoof de lucht; hij vlees kon ruiken.	Il cane annusò l'aria; egli sentiva l'odore di carne.
The pig squealed.	Das Schwein quiekte.	El cerdo chilló.	Le cochon glapit.	La porko kriĉis.	O porco gritou.	Świnia squealed.	Свинья визжала.	Het varken squealed.	Il maiale strillò.
I love the crunchy texture of fresh lettuce.	Ich liebe die knusprige Textur von frischem Salat.	Me encanta la textura crujiente de lechuga fresca.	J'aime la texture croquante de laitue fraîche.	Mi amas la crujiente teksturo de freŝa laktuko.	Eu amo a textura crocante de alface fresca.	Uwielbiam chrupiącą teksturę świeżej sałaty.	Я люблю хрустящую текстуру свежего салата.	Ik hou van de knapperige textuur van verse sla.	Amo la consistenza croccante di lattuga fresca.
I couldn’t sleep. All I could hear was the drip, drip, drip of the faulty faucet.	Ich konnte nicht schlafen. Alles, was ich war der Tropf, Tropf, Tropf des defekten Wasserhahn hören konnte.	No podía dormir. Todo lo que podía oír era el goteo, goteo, goteo del grifo defectuoso.	Je ne pouvais pas dormir. Tout ce que je pouvais entendre était le goutte à goutte, goutte à goutte, goutte à goutte du robinet défectueux.	Mi ne povis dormi. Mi nur povis aŭdi estis la gutado, gutado, gutado de la misa krano.	Eu não conseguia dormir. Tudo que eu podia ouvir era o gotejamento, gotejamento, gotejamento da torneira defeituosa.	Nie mogłem spać. Słyszałem był kap, kap, kap z uszkodzonego kranu.	Я не мог спать. Все, что я мог услышать, было капельное, капельное, капельное неисправного крана.	Ik kon niet slapen. Alles wat ik kon horen was de drup, drup, drup van de defecte kraan.	Non riuscivo a dormire. Tutto quello che potevo sentire era la goccia, a goccia, a goccia del rubinetto difettoso.
Baa, baa whaled the sheep as the rain began to pour.	Baa, baa whaled die Schafe als der regen zu gießen begann.	Baa, baa whaled las ovejas como la lluvia comenzó a caer.	Baa, baa whaled les brebis comme la pluie a commencé à verser.	Baa, BAA whaled la ŝafojn kiel la pluvo komencis verŝi.	Baa, baa whaled as ovelhas como a chuva começou a cair.	Baa, baa whaled owce jak deszcz zaczął lać.	Баа, бея whaled овец, как дождь полил.	Baa, baa walvisthema de schapen als de regen begon te gieten.	Baa, Baa whaled le pecore, come la pioggia ha cominciato a versare.
I snapped my fingers in time to the beat of the music.	Ich schnappte mir die Finger in der Zeit im Takt der Musik.	Chasqueé dedos en el tiempo al ritmo de la música.	Je cassé mes doigts dans le temps au rythme de la musique.	Mi klakis miaj fingroj ĝustatempe al la cirkelo de la muziko.	Eu bati meus dedos no tempo para a batida da música.	I rzucił palce w czasie w rytm muzyki.	Я щелкнул пальцами в такт в такт музыке.	Ik brak mijn vingers in de tijd naar de beat van de muziek.	Ho scattato le mie dita nel tempo al ritmo della musica.
I didn’t see the warning sign and bumped my head on the low doorframe.	Ich habe die Warnzeichen nicht und stieß meinen Kopf auf dem niedrigen Türrahmen.	No vi la señal de advertencia y golpeé la cabeza contra el marco de la puerta baja.	Je ne vois pas le signe d'avertissement et cogné la tête sur le bas chambranle.	Mi ne vidis la averto signo kaj frapis mian kapon sur la malaltaj DoorFrame.	Eu não vi o sinal de alerta e bateu a cabeça no batente da porta baixa.	Nie widziałem znak ostrzegawczy i wpadł głową o niskiej ościeżnicy.	Я не видел предупреждающий знак и врезался головой о низком дверному проему.	Ik heb niet het waarschuwingsbord en stootte mijn hoofd op de lage deurpost.	Non ho visto il segnale di avvertimento e sbattuto la testa sul basso stipite della porta.
The loud boom of the fireworks scared the dog.	Der laute Boom des Feuerwerkes erschrecken den Hund.	La fuerte explosión de los fuegos artificiales miedo al perro.	Le boum des feux d'artifice peur du chien.	La laŭta eksplodo de la fajraĵoj timigis la hundo.	O estrondo dos fogos de artifício assustou o cão.	Głośny huk fajerwerków przestraszony pies.	Громкий бум фейерверк испугал собаку.	De luide boom van het vuurwerk bang van de hond.	Il boom forte dei fuochi d'artificio spaventato il cane.
The bird fluttered his wings and flew from the cage.	Der Vogel flatterte seine Flügel und flog aus dem Käfig.	El pájaro aleteó sus alas y voló de la jaula.	L'oiseau agita ses ailes et a volé de la cage.	La birdo flirtigis siajn flugilojn kaj flugis el la kaĝo.	O pássaro sacudiu suas asas e voou da gaiola.	Ptak zatrzepotał skrzydłami i poleciał z klatki.	Птица захлопал крыльями и улетела из клетки.	De vogel fladderde zijn vleugels en vloog uit de kooi.	L'uccello agitò le sue ali e volò dalla gabbia.
Yikes! That was a close shave.	Huch! Das war eine gründliche Rasur.	Uff! Eso fue un afeitado apurado.	Aïe! C'était un rasage de près.	Yikes! Tio estis proksima razado.	Caramba! Isso foi um barbear mais rente.	To jest to! To było dokładne golenie.	Хлоп! Это было чистое бритье.	Yikes! Dat was een gladde scheerbeurt.	Yikes! Quella era una rasatura.
I was awoken with a start with the loud bleep of my alarm clock.	Ich war mit einem Start mit dem lauten Piepsen meines Weckers aufgeweckt.	Me despertó con un sobresalto con el fuerte pitido de la alarma de mi reloj.	Je suis réveillé en sursaut avec le bip fort de mon réveil.	Mi estis vekita kun eksalto kun la laŭta Bleep de mia vekhorloĝo.	I foi acordado com um começo com o bleep alto do meu despertador.	I obudził się nagle z głośnym bleep mojego budzika.	Я был разбужен с началом с громким звуковым сигналом моего будильника.	Ik werd wakker met een begin gemaakt met de luide pieptoon van mijn wekker.	Sono stato svegliato di soprassalto con il segnale acustico ad alto volume della mia sveglia.
The cat purred as I gently stroked his fur.	Die Katze schnurrte wie ich sanft sein Fell streichelte.	El gato ronroneó mientras acariciaba suavemente su piel.	Le chat ronronne comme je caressai doucement sa fourrure.	La kato ronronis kiel mi milde karesis lian felon.	O gato ronronou como eu gentilmente acariciou seu pêlo.	Kot zamruczał jak delikatnie pogładził futro.	Кот мурлыкал, как я нежно гладил его мех.	De kat spinde als ik zachtjes zijn vacht streelde.	Il gatto faceva le fusa come ho gentilmente accarezzato il pelo.
The magician waved his wand and poof, a rabbit appeared.	Der Zauberer schwang seinen Zauberstab und puh, ein Kaninchen erschienen.	El mago agitó su varita y zas, apareció un conejo.	Le magicien agita sa baguette et hop, est apparu un lapin.	La magiisto svingis sian sceptron kaj Poof, kuniklo aperis.	O mago acenou com a varinha e poof, um coelho apareceu.	Mag machnął różdżką i puf, pojawił się królik.	Волшебник взмахнул палочкой и пуф, появился кролик.	De tovenaar zwaaide met zijn staf en poef, verscheen een konijn.	Il mago agitò la bacchetta e puf, un coniglio apparso.
The blinds rattled as the wind grew fiercer.	Die Jalousien, wie der Wind verunsichert wuchs verschärften.	Las persianas sonaron como el viento se hizo más intensa.	Les stores crépitaient comme le vent a augmenté plus féroce.	La rulkurtenoj klakadis kiel la vento fariĝis pli obstinaj.	As persianas sacudiram como o vento ficou mais acirrada.	Rolety brzęczały jak wiatr coraz ostrzejsza.	Шторки гремели, как ветер выросли ожесточеннее.	De blinds rammelde als de wind groeide heviger.	Le tende tintinnavano mentre il vento è cresciuto più agguerrita.
The robbers’ car screeched around the corner as they attempted to escape the police.	Das Auto kreischte Räuber um die Ecke, als sie die Polizei zu entkommen versucht.	coche de los ladrones chilló vuelta de la esquina en su intento de escapar de la policía.	La voiture des voleurs grinça autour du coin alors qu'ils tentaient d'échapper à la police.	La rabistoj 'aŭto kriegis ĉirkaŭ la angulo dum ili provis eskapi la polico.	O carro dos ladrões gritou ao virar da esquina, quando tentavam escapar da polícia.	samochód rabusiów piskiem rogiem jak próbowali uciec policji.	Автомобиль грабителей визжали вокруг угла, как они пытались бежать в полицию.	de auto van de overvallers krijste om de hoek omdat ze geprobeerd om de politie te ontsnappen.	auto dei ladri strillò dietro l'angolo, mentre cercavano di sfuggire alla polizia.
I couldn’t wait to escape the cold and sit by a warm, crackling fire.	Ich konnte nicht die Kälte zu entfliehen warten und von einem warmen, knisternden Feuer sitzt.	No podía esperar para escapar del frío y sentarse por un fuego caliente, chisporroteo.	Je ne pouvais pas attendre pour échapper au froid et asseyez-vous par un bon feu, crépitant.	Mi ne povis atendi por eskapi la malvarma kaj sidu per varma, kraketado fajro.	Eu não podia esperar para escapar do frio e sentar-se por um fogo quente, crepitante.	Nie mogłem się doczekać, aby uciec od zimna i usiąść przy ciepłym, trzaskającym ogniem.	Я не мог ждать, чтобы избежать холодов и сидеть в теплом, потрескивающем огне.	Ik kon niet wachten om de kou te ontsnappen en zitten door een warme, knapperend haardvuur.	Non vedevo l'ora per sfuggire al freddo e sedersi da un caldo, fuoco scoppiettante.
The lion let out a loud roar as the ringmaster cracked his whip.	Der Löwe ließ ein lautes Gebrüll wie der Zirkusdirektor seine Peitsche knallte.	El león dejó escapar un rugido como el maestro de ceremonias agrietado su látigo.	Le lion poussa un hurlement fort que le dompteur fit claquer son fouet.	La leono luigos laŭta muĝo kiel la Ringmaster svingis la vipon.	O leão soltou um rugido alto como o ringmaster estalou o chicote.	Lew niech się głośny ryk jako konferansjer pęknięty batem.	Лев издал громкий рев, как манеж взмахнул кнут.	De leeuw liet een luid gebulder als spreekstalmeester zijn zweep gekraakt.	Il leone emise un ruggito forte come il direttore del circo incrinato la frusta.
The steaks sizzled on the barbeque.	Die Steaks brutzelten auf dem Grill.	Los filetes crepitaban en la barbacoa.	Les steaks grésillaient sur le barbecue.	La bifstekoj sizzled en barbeque.	Os bifes chiaram no churrasco.	Steki sizzled na grilla.	Стейки шипела на барбекью.	De steaks sizzled op de barbecue.	Le bistecche sfrigolavano sul barbecue.
We clapped our hands it time with the music.	Wir klatschten unsere Hände, um es mit der Musik.	Aplaudimos nuestro tiempo lo pasa con la música.	Nous applaudissions nos mains ce temps avec la musique.	Ni aplaŭdis niaj manoj gxin tempon kun la muziko.	Nós bateu nossas mãos que tempo com a música.	Mamy klasnął w ręce nasz czas go z muzyką.	Мы хлопали наше время руки его с музыкой.	We klapten onze handen het tijd met de muziek.	Abbiamo applaudito il nostro tempo le mani con la musica.
The dog barked as the postman approached the gate.	Der Hund bellte wie der Postbote das Tor näherte.	El perro ladró como el cartero se acercó a la puerta.	Le chien a aboyé comme le facteur approché de la porte.	La hundo bojis al la leterportisto alproksimiĝis al la pordego.	O cachorro latiu como o carteiro se aproximou do portão.	Pies szczekał jak listonosz zbliżył się do bramy.	Залаяла собака, как почтальон подошел к воротам.	De hond blafte als de postbode naderde de poort.	Il cane abbaiava come il postino si avvicinava al cancello.
The mud bubbled on the surface of the bog.	Der Schlamm sprudelte auf der Oberfläche des Moores.	El lodo burbujea en la superficie de la ciénaga.	La boue barboter sur la surface de la tourbière.	La koto bobelis sur la surfaco de la marĉo.	A lama borbulhava na superfície do pântano.	Błoto pęcherzykami na powierzchni torfowiska.	Грязь барботирует на поверхности болота.	De modder borrelde op het oppervlak van het moeras.	Il fango gorgogliare sulla superficie della palude.
The girl screamed: “Eek!” as the mouse ran from under her bed.	Das Mädchen schrie: „Eek!“, Wie die Maus unter ihrem Bett lief.	La chica gritó: “Eek!”, Como el ratón corrió por debajo de su cama.	La jeune fille a crié: « Eek! » Que la souris a couru sous son lit.	La knabino kriis: "Eek!" Kiel la muso kuris el sub ŝia lito.	A menina gritou: “Eek!”, Como o rato correu debaixo de sua cama.	Dziewczyna krzyknęła: „Eek” jak mysz uciekła spod łóżka.	Девушка закричала: «Ик!», Как мышь побежала из-под кровати.	Het meisje schreeuwde: “Eek!” Als de muis liep van onder haar bed.	La ragazza gridò: “Eek!”, Come il topo correva da sotto il letto.
The bells of the church clanged to announce the start of the service.	Die Glocken der Kirche läuteten den Beginn des Dienstes bekannt zu geben.	Las campanas de la iglesia sonaron para anunciar el comienzo del servicio.	Les cloches de l'église résonnaient d'annoncer le début du service.	La sonoriloj de la preĝejo batfermiĝis anonci la komencon de la servo.	Os sinos da igreja soou para anunciar o início do serviço.	Dzwony kościoła szczękiem ogłosić rozpoczęcie usługi.	Колокола церкви лязг, чтобы объявить о начале службы.	De klokken van de kerk kletterde naar het begin van de dienst aan te kondigen.	Le campane della chiesa risuonavano per annunciare l'inizio del servizio.
